"bearer","total_share"
"a00eedd899968d55958dc04cfec89478ec8fa082335690573a60dbff2edd97f3","26"
"a00041750a336151441a9075596568b958d15b7ae0da14c867fb0c24ed5642b4","26"
"a00a75cfbe53d75defbf3ef618314874b958f73878800b6bb8b72c35a488caa2","26"
"a0037b7623e73287b05cf886c33f6f73b5b31e90cdec62daa85bd6ac16465335","26"
"a00de947a6ca12938efb7078b464fbcdfe92366cb8ed37074a6629ef70fc3044","26"
"a00e9ea48ae31d02346df0f929d61f30b6eb0bcce0cd16bbed357f56ffcceeea","26"
"a00ba70f3d9d2804ebf77b18c4388c48718532c76f04527aaf03bd51eb153dc5","26"
"a00608dd5a7d5018d265e2a56db78a4c5a4f1d9fec7128ac39aa0598e96954cf","26"
"a00b257b1e9152d4b3d52f68e589f16ace9abcdf30d6e49ef893b06d0d925413","26"
"a00461e266a59ea2210887188b5ba75c84c51b3145a312574b7a18eeab6948dc","26"
"a007e3c5ea38993b0119389dee298c791ec96d40f434c280d870c3f7b0e74f4e","26"
"a0014789992cb9ef2cd4ce5eb688004f403a08e79f67bca337a3eec5db83babd","26"
"a0089c7ca23a317a5183ef547fc349458f3daeddcb280a06512788eb470f886b","26"
"a005df2b413e02e87b98f38446f32f7007e8fef4244ff6d4d10b86159f064369","26"
"a00084ed54a688cad8ac9657bcf75b325f8ff5b4a820c8da7bcaf49e9034ea04","25"
"a001d0b4617c5ca8bc28e4134af8b5ab415fc5d21976e6e2bb7c382ffb587846","25"
"a003521cec1171d23a5536ce675ed97f4b08320a576e5eae4bf9f5a57fcbaf95","25"
"a002211de3217d08035455017e11f37c3ac139ffa7180e081af171009c81730a","25"
"a00f3bfb42f1be36b42cdf71a5dd849ff548e64d9a96f55c8168b4611a07bcf8","25"
"a002a4d32b50330c70af8a97a7436dbf8f33953016a3a219735724372525d0d5","24"
"a00cd492abb1fedc9e1e26243e21af512b3f34fac5fc088e3f87e5d53da33bf1","23"
"a0007b4b08d7b3a202202e8c121075c95857865201b1eea2bede4c07319f7ddf","22"
"a00624307dcb6388124f0e340fa41d4808eb950b682fe6d8c273b84e01903738","22"
"a00a5608eb48efd961da775601d98dfd1e4187157db6465aa49868b437ee8a05","22"
"a006dc3d7ac818814cf1d6f8a7974cca5d8ca0d892a9ee0a0dd05c617cb4cd07","22"
"a00358bd7996ea635b4ed4034b42298f005a845ffdbf6eb2ba4a8e6688f544a8","22"
"a007723fd3c0533d79a60d5ad0b16f43aecb9cab4fc8c56d60aed2b3ddd6f93a","22"
"a00f5bdae84cc3bc8e900e94da34949710d9d94a2e1368afebcb1954829ec01f","22"
"a001b783da0369dfd1cdf3156d64f58ae2ec887c82e9346fd450a260cdd218bc","22"
"a005e72ec88d5cf516c13500041c1be1af068b276eb2202b25f64e2c5cf704a0","22"
"a00a322f7c1732fa1b6066caaa948d6a1f2b562deaee0c692221f5bd200fe4b4","22"
"a00de8194b72b0a951a9a85dcbdcf353e6d676334b5888e4b918956aea78d21a","22"
"a00d123f40d9c48aefc24a21d74bbcc880a9d497b82d4c812d53e6033cc93144","22"
"a00a0340afb2ed07d225c1a6cd994a478571de1c20ee630fd7a3ddf6b5c2f20c","22"
"a0065c61a5d7ddcaced9703cec0574d5a489d7dcb614e2c35f8b3f8f11c490fb","22"
"a001f53ddcf2e1561982d663bdd69c927f8c3774ece58824229d06c7f680e191","22"
"a009ffeec70af67fe1ed28ca236743348e85b5163bc77aa78d20b7d52c3c668e","21"
"a007e387963465dc50b98a1607a1f8063e9266b72800f697dbaa264dc4596886","21"
"a00cb8b431c61364251d0f68321c5771b31ea5b9d1cfb362ce58f1546ee37671","21"
"a00f121ed5127b32bf3865712a9152121fc71ee43615bbaefbeb80c6c31dc52c","21"
"a0012700a8cd7a75fec80cfed59dc8ed75a639db02b7052df5c56bf13377ae8f","21"
"a00e91c910242c19a949cb741aa83cb63546775447f6bb9b095303f48317b88a","21"
"a0010d436593aef89c67b752c53acaa7dd474cd0815a036d436c97fab9cbb333","21"
